clave municipio,nombre municipio,seccion,rango_edad,sexo,total_padron,total_lista
0,0,0,18,hombres,65,41
3,AHUALULCO DE MERCADO,24,18,hombres,17,15
3,AHUALULCO DE MERCADO,25,18,hombres,6,4
3,AHUALULCO DE MERCADO,26,18,hombres,3,2
3,AHUALULCO DE MERCADO,27,18,hombres,13,11
3,AHUALULCO DE MERCADO,28,18,hombres,6,4
3,AHUALULCO DE MERCADO,29,18,hombres,14,14
3,AHUALULCO DE MERCADO,30,18,hombres,2,2
3,AHUALULCO DE MERCADO,31,18,hombres,14,14
3,AHUALULCO DE MERCADO,32,18,hombres,4,4
3,AHUALULCO DE MERCADO,33,18,hombres,6,4
3,AHUALULCO DE MERCADO,34,18,hombres,7,7
3,AHUALULCO DE MERCADO,35,18,hombres,10,10
5,AMATITAN,40,18,hombres,28,25
5,AMATITAN,41,18,hombres,12,9
5,AMATITAN,42,18,hombres,28,22
5,AMATITAN,43,18,hombres,18,14
5,AMATITAN,44,18,hombres,1,1
5,AMATITAN,45,18,hombres,2,1
5,AMATITAN,46,18,hombres,2,1
5,AMATITAN,47,18,hombres,9,8
6,AMECA,48,18,hombres,21,19
6,AMECA,50,18,hombres,18,17
6,AMECA,51,18,hombres,11,10
6,AMECA,52,18,hombres,20,18
6,AMECA,53,18,hombres,7,7
6,AMECA,54,18,hombres,4,4
6,AMECA,55,18,hombres,7,7
6,AMECA,56,18,hombres,12,11
6,AMECA,57,18,hombres,7,6
6,AMECA,58,18,hombres,5,5
6,AMECA,59,18,hombres,3,3
6,AMECA,60,18,hombres,1,1
6,AMECA,61,18,hombres,4,4
6,AMECA,62,18,hombres,11,11
6,AMECA,63,18,hombres,14,13
6,AMECA,64,18,hombres,15,15
6,AMECA,65,18,hombres,8,7
6,AMECA,66,18,hombres,5,4
6,AMECA,69,18,hombres,14,14
6,AMECA,70,18,hombres,7,7
6,AMECA,71,18,hombres,11,10
6,AMECA,72,18,hombres,11,11
6,AMECA,73,18,hombres,2,2
6,AMECA,74,18,hombres,0,0
6,AMECA,75,18,hombres,3,3
6,AMECA,76,18,hombres,4,4
6,AMECA,77,18,hombres,9,9
6,AMECA,78,18,hombres,1,1
6,AMECA,79,18,hombres,4,4
6,AMECA,80,18,hombres,4,4
6,AMECA,81,18,hombres,4,3
6,AMECA,82,18,hombres,0,0
6,AMECA,84,18,hombres,2,2
6,AMECA,85,18,hombres,2,1
6,AMECA,86,18,hombres,0,0
6,AMECA,87,18,hombres,5,5
6,AMECA,88,18,hombres,4,4
6,AMECA,89,18,hombres,0,0
6,AMECA,90,18,hombres,1,1
6,AMECA,91,18,hombres,4,3
6,AMECA,92,18,hombres,0,0
6,AMECA,93,18,hombres,3,3
6,AMECA,3738,18,hombres,11,10
6,AMECA,3739,18,hombres,9,8
7,SAN JUANITO DE ESCOBEDO,94,18,hombres,12,12
7,SAN JUANITO DE ESCOBEDO,95,18,hombres,4,4
7,SAN JUANITO DE ESCOBEDO,96,18,hombres,9,9
7,SAN JUANITO DE ESCOBEDO,97,18,hombres,1,1
7,SAN JUANITO DE ESCOBEDO,98,18,hombres,2,2
7,SAN JUANITO DE ESCOBEDO,99,18,hombres,5,5
7,SAN JUANITO DE ESCOBEDO,100,18,hombres,5,5
7,SAN JUANITO DE ESCOBEDO,101,18,hombres,2,2
9,EL ARENAL,139,18,hombres,21,21
9,EL ARENAL,140,18,hombres,11,10
9,EL ARENAL,141,18,hombres,35,25
9,EL ARENAL,142,18,hombres,14,14
9,EL ARENAL,143,18,hombres,17,17
19,BOLAÐOS,292,18,hombres,7,7
19,BOLAÐOS,293,18,hombres,5,5
19,BOLAÐOS,295,18,hombres,3,3
19,BOLAÐOS,3874,18,hombres,14,14
19,BOLAÐOS,3875,18,hombres,9,9
26,COLOTLAN,411,18,hombres,17,16
26,COLOTLAN,412,18,hombres,1,1
26,COLOTLAN,413,18,hombres,13,10
26,COLOTLAN,414,18,hombres,16,14
26,COLOTLAN,415,18,hombres,7,5
26,COLOTLAN,416,18,hombres,4,4
26,COLOTLAN,417,18,hombres,8,8
26,COLOTLAN,418,18,hombres,15,14
26,COLOTLAN,419,18,hombres,4,3
26,COLOTLAN,420,18,hombres,12,10
26,COLOTLAN,421,18,hombres,7,7
26,COLOTLAN,423,18,hombres,1,1
26,COLOTLAN,424,18,hombres,3,3
26,COLOTLAN,425,18,hombres,3,3
26,COLOTLAN,426,18,hombres,1,1
32,CHIMALTITAN,476,18,hombres,9,8
32,CHIMALTITAN,477,18,hombres,10,10
32,CHIMALTITAN,478,18,hombres,1,1
37,ETZATLAN,530,18,hombres,29,26
37,ETZATLAN,531,18,hombres,17,17
37,ETZATLAN,532,18,hombres,9,7
37,ETZATLAN,533,18,hombres,7,6
37,ETZATLAN,534,18,hombres,1,1
37,ETZATLAN,535,18,hombres,6,6
37,ETZATLAN,536,18,hombres,14,14
37,ETZATLAN,537,18,hombres,4,3
37,ETZATLAN,538,18,hombres,8,8
37,ETZATLAN,539,18,hombres,21,18
37,ETZATLAN,540,18,hombres,2,2
42,HOSTOTIPAQUILLO,1549,18,hombres,5,5
42,HOSTOTIPAQUILLO,1550,18,hombres,2,1
42,HOSTOTIPAQUILLO,1551,18,hombres,3,3
42,HOSTOTIPAQUILLO,1552,18,hombres,9,9
42,HOSTOTIPAQUILLO,1553,18,hombres,10,9
42,HOSTOTIPAQUILLO,1554,18,hombres,0,0
42,HOSTOTIPAQUILLO,1556,18,hombres,0,0
42,HOSTOTIPAQUILLO,1557,18,hombres,1,1
42,HOSTOTIPAQUILLO,1558,18,hombres,3,3
42,HOSTOTIPAQUILLO,1559,18,hombres,1,1
42,HOSTOTIPAQUILLO,1560,18,hombres,2,2
43,HUEJUCAR,1561,18,hombres,14,10
43,HUEJUCAR,1562,18,hombres,7,5
43,HUEJUCAR,1563,18,hombres,6,6
43,HUEJUCAR,1564,18,hombres,3,1
43,HUEJUCAR,1565,18,hombres,6,5
44,HUEJUQUILLA EL ALTO,1566,18,hombres,6,6
44,HUEJUQUILLA EL ALTO,1567,18,hombres,13,12
44,HUEJUQUILLA EL ALTO,1568,18,hombres,6,6
44,HUEJUQUILLA EL ALTO,1569,18,hombres,3,3
44,HUEJUQUILLA EL ALTO,1570,18,hombres,2,2
44,HUEJUQUILLA EL ALTO,1571,18,hombres,1,1
44,HUEJUQUILLA EL ALTO,1572,18,hombres,14,14
57,MAGDALENA,1782,18,hombres,17,14
57,MAGDALENA,1783,18,hombres,12,11
57,MAGDALENA,1784,18,hombres,30,23
57,MAGDALENA,1785,18,hombres,18,17
57,MAGDALENA,1786,18,hombres,5,5
57,MAGDALENA,1787,18,hombres,19,14
57,MAGDALENA,1788,18,hombres,7,6
57,MAGDALENA,1789,18,hombres,6,5
57,MAGDALENA,1790,18,hombres,8,6
57,MAGDALENA,1791,18,hombres,8,8
57,MAGDALENA,3663,18,hombres,5,5
57,MAGDALENA,3664,18,hombres,0,0
63,MEZQUITIC,1831,18,hombres,7,6
63,MEZQUITIC,1832,18,hombres,11,9
63,MEZQUITIC,1833,18,hombres,0,0
63,MEZQUITIC,1834,18,hombres,3,1
63,MEZQUITIC,1835,18,hombres,2,2
63,MEZQUITIC,1837,18,hombres,9,7
63,MEZQUITIC,1838,18,hombres,11,9
63,MEZQUITIC,3876,18,hombres,2,2
63,MEZQUITIC,3877,18,hombres,1,1
63,MEZQUITIC,3878,18,hombres,10,10
63,MEZQUITIC,3879,18,hombres,14,12
